23,100731,1
24,100731,1
25,100731,1
26,100742,1
27,100725,1
28,100725,1
29,100725,1
30,100447,1
31,100447,1
32,100447,1
33,100742,1
35,41,1
36,41,1
37,41,1
38,41,1
39,100719,1
40,100719,1
41,100722,1
42,100722,1
43,100722,1
44,100418,1
45,100418,1
46,100717,1
47,32,1
74,100703,1
75,100703,1
76,100703,1
77,100697,1
78,100697,1
79,100697,1
80,100697,1
81,100612,1
82,100612,1
83,100613,1
85,100698,1
86,100698,1
87,100698,1
88,100802,1
89,100802,1
90,100697,1
91,100697,1
92,100697,1
93,100549,1
94,100549,1
95,25,1
96,25,1
97,25,1
100,100688,1
101,100688,1
102,100688,1
103,100692,1
104,100692,1
105,100692,1
106,100692,1
108,100695,1
109,100695,1
110,100695,1
111,100695,1
115,100640,1
116,100640,1
121,100640,1
127,100513,1
126,100730,1
131,100729,1
132,100729,1
133,100729,1
135,100554,1
136,100554,1
137,100553,1
166,100388,1
167,100557,1
168,100559,1
171,100362,1
173,100362,1
175,100560,1
176,100560,1
177,100561,1
170,100561,1
196,100562,1
198,100562,1
200,100562,1
193,100563,1
182,100577,1
184,100577,1
209,100277,1
211,100277,1
214,100277,1
216,100277,1
201,100281,1
218,100281,1
220,100279,1
222,100279,1
224,100279,1
203,100279,1
225,100577,1
228,100577,1
230,100607,1
232,100607,1
234,100578,1
239,100329,1
243,100264,1
245,100264,1
246,100689,1
247,100689,1
248,100689,1
249,100688,1
250,100688,1
251,100688,1
252,100679,1
1386,100638,1
1382,100844,1
1384,100844,1
1388,100627,1
1389,100627,1
1387,100638,1
48,100723,1
49,100723,1
50,100723,1
51,100778,1
52,100706,1
53,100706,1
54,100706,1
55,100401,1
56,100401,1
58,100707,1
59,100707,1
60,100707,1
61,100788,1
62,100700,1
63,100700,1
64,100700,1
65,100701,1
66,100701,1
67,100555,1
68,100555,1
69,100555,1
70,100555,1
71,100554,1
72,100554,1
73,100788,1
57,100402,1
